ID;Title;Directions;Ingredient;Image
16;Pea Salad;Stir together and enjoy.;frozen peas, uncooked - green onion, chopped - crumbled bacon bits - water chestnuts, sliced - salted cashew pieces. - sour cream;https://www.recipegirl.com/wp-content/uploads/2019/07/Pea-Salad-1.jpg
17;School French Dressing;Stir together and enjoy.;oil - vinegar - salt and  pepper to taste - dry mustard - paprika - sugar;https://syrupandbiscuits.com/wp-content/uploads/2016/05/French-style-Dressing-2.jpg
18;Spinach Salad;Mix spinach and thinly sliced onion.  Fry bacon until crisp, drain.  To drippings add vinegar, water, sugar, and salt.  Bring to a boil.  Beat egg until light.  Add sour cream.  Pour boiling liquid over egg then pour back in skillet.  Cook over low heat until thick.  Pour over spinach, add bacon and chopped egg.  Toss lightly.;spinach leaves - onion, red is best - bacon - vinegar - water - sugar - salt - egg, slightly beaten -egg, hard-boiled - sour cream;https://www.acouplecooks.com/wp-content/uploads/2020/09/Spinach-Salad-010.jpg
19;Spinach Salad with Avocado;Clean spinach.  Tear for salad.  Cut avocado in small pieces.  Sprinkle with lemon.  Slice onion as thin as possible.  Combine spinach, avocado, onion, and oranges.  Mix remaining ingredients to make dressing.  Pour dressing over salad.  Sprinkle on bacon bits.;fresh spinach - avocado - red onion - lemon juice - mandarin oranges - sour cream - garlic, crushed - salt - lemon peel - paprika - pepper - vinegar - olive oil - bacon, crisp and crumbled;https://amindfullmom.com/wp-content/uploads/2019/06/Easy-Avocado-Salad-Recipe-500x500.jpg
20;Spinach Salad with Alfalfa Sprouts;Mix dressing ingredients:  mayonnaise, catsup, lemon juice, and sugar.  Combine remaining ingredients.  Toss with dressing.;spinach greens - sliced onion - bacon bits - alfalfa sprouts - grated jack cheese - sunflower seeds - mayonnaise - catsup - lemon juice - sugar;https://img.taste.com.au/muxYESGT/taste/2016/11/how-to-use-alfalfa-sprouts-55038-1.jpg
21;Summer Fruit Salad;Combine all ingredients.  Cover and chill several hours or overnight.;pineapple chunks in juice - mandarin oranges - cantaloupe, cut into chunks - seedless grapes - watermelon chunks - marshmallows - sour cream;https://cdn.loveandlemons.com/wp-content/uploads/2020/06/fruit-salad-recipe.jpg
22;Top Ramen Salad;Mix Ramen seasoning packet with oil, vinegar, and sugar.  pour over mixture of salad greens, red onion, and peas.  Add crushed Ramen noodles.;chicken Ramen - oil - sugar - vinegar - salad greens - red onion - frozen peas;https://www.allrecipes.com/thmb/mqN1sLLvj-h61I41D0-i56_V-zs=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/237732-top-ramen-salad-3x4-454-copy-f7705001c1ee4b19bf54862f313b9244.jpg
23;Zucchini Apple Slaw;Mix together.  Put on crisp lettuce.  Top with dressing.;mayonnaise - vinegar - caraway seed - sugar - zucchini, coarsely shredded - green onions, sliced - tart apples, cut in chunks - salt and pepper;https://i0.wp.com/www.onegreenplanet.org/wp-content/uploads/2014/07/Half-Moon-Shaped-Spiralized-Veggies-Zucchini-Kale-Apple-Slaw.jpg?fit=1600%2C1229&ssl=1
24;Broccoli Cheese Soup;Place potato, broccoli (reserve 2 cups), carrots, garlic, onion, salt, and water in large saucepan.  Bring to boil, then simmer until all vegetables are very tender.  Puree in blender or food processor, and transfer to kettle or dutch oven.  Steam reserved broccoli pieces until just tender.  Add to puree along with all remaining ingredients.  Heat gently.  Serve topped with additional grated cheddar cheese.;potato (2-3 cups), peeled and diced - broccoli florets, cut or broken - cloves of garlic, peeled - carrot, peeled and chopped - onion, chopped - salt - water - cheddar cheese, grated - low-fat milk - dill;https://tastesbetterfromscratch.com/wp-content/uploads/2019/08/Broccoli-Cheese-Soup-10-1.jpg
25;Chicken Noodle Soup;Boil chicken, remove from bones and chop.  Set aside.  Cook potato, carrots, celery, and onion in water to cover.  When tender add the chicken, bouillon cubes, poultry seasoning, and salt.  Add a large handful of narrow egg noodles.  Add more liquid if necessary and cook until noodles are tender.;chicken, cooked and chopped - potato, diced - celery, sliced - carrots, diced - onion, chopped - chicken bouillion - poultry seasoning - salt, to taste - narrow egg noodles;https://tastesbetterfromscratch.com/wp-content/uploads/2017/10/Chicken-Noodle-Soup-2-500x375.jpg
26;Cleo's Clam Chowder;Boil potatoes.  Save water.  When potatoes are tender add bacon, onion, and celery.  Add half and half, milk and seasonings.  Thicken with a cup of flour mixed with water.  Add to boiling soup.  Stir in clams, but not too soon or they will get tough.;bacon, chopped and browned - onion, suated - potatoes, peeled and diced - celery, sauted - half and half - milk - salt and pepper - thyme or basil - chopped clams with juice;https://thisoldgal.com/wp-content/uploads/2018/01/Pressure-Cooker-Low-Carb-Manhattan-Clam-Chowder-1.jpg
27;Creamy Zucchini Mushroom Soup;Combine zucchini, onion, garlic and butter in 2 qt. microwave-safe casserole.  Cover and microwave on high setting 5 to 7 minutes, stirring every 3 minutes, until vegetables are tender.  Place zucchini mixture in blender container;zucchini, thinly sliced (about 3/4 lb.) - onion, chopped - butter or margarine - garlic, minced - cream of mushroom soup, condensed - water - milk - fresh oregano, chopped or 1/4 tsp dried - fresh basil, or 1/4 tsp dried - sour cream - pine nuts, toasted - ground pepper, to taste;https://industryeats.com/wp-content/uploads/2019/08/zucchini-mushroom-soup.jpg
28;Elephant Stew;Cut elephant into bite-size pieces.  (Allow approximately 12 months.)  Add enough gravy to cover.  Cook over kerosene fire for 4 weeks at 463 degrees.  Makes 3,300 servings.  To extend recipe add rabbits, but only if necessary, as some people do not like to find hare in their stew.;elephant - salt and pepper to taste - rabbits - brown gravy;https://img.sndimg.com/food/image/upload/v1/img/recipes/27/81/35/picne9Mtk.jpg
29;Hungry Bear Vegetable Soup;Brown the meat, then add all of the ingredients, except the cabbage. Cover with water and simmer for about an hour until veggies are tender.  Then add the chopped cabbage and simmer again for about a half hour.  Add more liquid if necessary.;hamburger - potatoes, diced - onion, coarsely chopped - carrots, diced - celery, sliced - stewed tomatoes, crushed - tomatoes, crushed - cabbage - salt, to taste;https://www.supergoldenbakes.com/wordpress/wp-content/uploads/2019/03/Chicken_vegetable_soup_©LParissi-1.jpg
30;Mexican Meatball Soup;Mix first 8 ingredients.  Shape into 1' balls.  Brown in small amount of oil.  Put remaining ingredients in a large pot.  Heat to boiling.  Add meatballs.  Cover and simmer 15 minutes.  Salt and pepper to taste.  Add rice and simmer 15 minutes.  Salt and pepper to taste.  Add rice and simmer 15 minutes.;hamburger - minute rice - onion, finely chopped - egg - garlic powder - oregano - cumin - chili powder - chicken or beef broth - tomatoes, crushed - onion, chopped - carrots, chopped - celery, chopped - garlic powder - oregano - cumin - chili powder - tomato sauce - instant rice;https://reciperunner.com/wp-content/uploads/2020/01/Mexican-Meatball-Soup-Photographs-735x1096.jpg
31;Minestrone Soup;Brown hamburger and onions.  Add all other ingredients with enough water to cover.  Simmer two to three hours then add spaghetti and cook until tender.;hamburger - potatoes, cubed - carrots, diced - onion, chopped - stalks of celery, chopped - kidney beans - frozen spinach - zucchini, diced - cabbage, chopped - stewed tomatoes - spaghetti sauce mix - tomato sauce - broken spaghetti;https://cdn.loveandlemons.com/wp-content/uploads/2021/11/minestrone-soup-500x500.jpg
32;Tortilla Soup;Cut 3 thin slices from the lime;lime - vegetable oil - ground cumin - onion, chopped - diced oregano leaves, crushed - garlic, minced - Campbell's condensed chicken broth - water - tomato, chopped - chopped green chiles - monterey jack or cheddar cheese, shredded - corn tortillas - lettuce, shredded;https://www.spendwithpennies.com/wp-content/uploads/2018/11/SpendWithPennies-Chicken-Tortilla-Soup-22.jpg
33;Chicken and Shrimp Cantonese;Cut chicken into 1-inch cubes. Heat all over medium-high heat in wok or large skillet. Add chicekn and garlic ;peanut or vegetable oil - b1d and skinned chicken breasts, cut into 1 inch pieces - celery, sliced - red or green pepper, cut in thin strips - chicken broth - cornstarch - sherry - soy sauce - sugar;https://thewoksoflife.com/wp-content/uploads/2018/02/shrimp-chow-mein-5.jpg
34;Chicken With Pineapple;Marinate chicken in mixture of sherry, soy sauce, and cornstarch. Drain, but;b1d chicken breast cut into 1-inch cubes - sherry - cornstarch - soy sauce - celery, bite size - onion - mushroom - pineapple tidbits - green pepper;https://omnivorescookbook.com/wp-content/uploads/2020/05/200330_Pineapple-Chicken_550.jpg
35;Chinese Beef;Cut steak into thin strips. Quarter tomatoes, cut pepper in bug chunks. Heat oil in skillet. Add beef, crushed garlic, slat, pepper, and ginger. Fry over high heat until brown. Add soy sauce and sugar. Cover tightly. Cook slowly 5 minutes. Add tomatoes, peppers, and sprouts. Bring to a boil, cover, cook briskly 5 minutes. Make a smooth paste of cornstarch and water. Add to beef. Cook until sauce thickens slightly. Stir occasionally.;flank steak - tomatoes - olive oil - green peppers - garlic - salt - pepper - ground ginger - soy sauce - sugar - cornstarch - bean sprouts - water;https://thewoksoflife.com/wp-content/uploads/2015/06/mongolian-beef-13.jpg
36;Chinese Broccoli;Steam broccoli. Mix crab or shrimp in bea10 egg white. Saute crab or shrimp with fresh mushrooms, broth, and soy sauce. Spoon over broccoli.;broccoli florets - crab or shrimp - fresh mushrooms - bea10 egg white - chicken broth;https://www.pressurecookrecipes.com/wp-content/uploads/2021/03/chinese-broccoli.jpg
37;Chinese Chicken Salad;Mix soy sauce, sherry, water, orange peel, and anise. Simmer 10 minutes to make marinade. Poach chicken breasts 10 to 15 minutes over low flame. Cool in liquid. Shred. Mix together shredded chicken, onions, and lettuce. Serve over rice noodles that have been cooked in hot oil in wok.;soy sauce - dry sherry - orange peel - water - anise - chicken breast, poached 15 minutes - slivered green onions - slivered lettuce;https://simply-delicious-food.com/wp-content/uploads/2022/03/0E2A8325-2.jpg
38;Chinese Fried Rice;Saute onion and meat in oil. Add other ingredients except egg. Cook on low heat about 15 to 20 minutes. Beat egg with a tablespoon of milk. Melt butter in skillet, pour in egg and cook until solid. Slice in thin strips to put over the rice as garnish on the platter.;diced ham, pork or chicken - oil - chopped green onions - sliced mushrooms (optional) - cold cooked rice - soy sauce - egg - tbsp;https://therecipecritic.com/wp-content/uploads/2019/07/easy_fried_rice-1-500x500.jpg
39;Chinese Pepper Steak;Partially freeze steak and cut into thin strips. Combine cornstarch, sugar, ginger, and soy sauce. Pour over meat and stir. Cut into thin strips. Quickly brown meat in hot oil and remove. Add green pepper, onion, and garlic. Add water. Cook 5 to 6 minutes. Stir in meat, tomatoes and sherry. Serve over rice.;round steak, cut 1 inch thick - cornstarch - ginger - sugar - sauce - peppers - onion - oil - garlic - water - dry sherry - tomatoes, halved;https://www.kitchensanctuary.com/wp-content/uploads/2015/07/Black-Pepper-Beef-square-FS-26.jpg
40;Chinese Roast Pork;Mix sugar, salt, h1y, soy sauce, and bouillon. Cut pork lengthwise and soak in marinade for 45 minutes. Turning. Place on rack in roasting pan. Dd few tablespoons water to prevent smoking. Bake 350 degrees for 1 hour and 15 minutes. Turning occasionally.;sugar - salt - soy sauce - h1y - chicken bouillon - fresh pork butt or shoulder of pork;https://tasteasianfood.com/wp-content/uploads/2016/07/rp12-feature-600x300.jpg
41;Chinese Stir Fried Chicken with Peanuts;Mix sherry and cornstarch. Stir chicken to coat. Refirgerate 2 to 4 hours. Heat 2 tablespoons oil over high heat. Add ginger. Cook 15 seconds, stirring constantly. Add pepper. Stir fry 2 minutes. Add onion. Stir fry 1 minute. Tranfer to bowl. Add rest of oil. Add chicken and red pepper. Stir fry 2 minutes until chicken looses pink color and turns white. Add peanuts, cooked vegetables and soy sauce mixture (soy sauce, water, and cornstarch). Bring to rolling boil, stirring constantly until thick. Serve immediately, discard ginger. Serve with rice.;dry sherry - cornstarch - vegetable oil - b1less chicken, cut in cubes - ginger root - green peppers - green onions - crushed red pepper - unsalted peanuts - soy sauce - cornstarch - water;https://assets.bonappetit.com/photos/5e99ce1f657e4f00088aced7/1:1/w_2560%2Cc_limit/Basically-Chicken-Stir-Fry.jpg
42;Scallops;Brown w/ salt and pepper. Serve over glass noodles, top with chopped green onions and toasted sesame seeds.;salt - pepper - rice vinegar - soy sauce - garlic - sugar - green onions;https://www.onceuponachef.com/images/2022/03/how-to-cook-scallops-2-scaled.jpg
43;Cheese Fondue;Melt cheese and combine with rest of ingredients. Bake with cumin on top and serve warm with tortilla chips.;mexican blend cheese - salsa - chopped artichoke hearts - spinach - cumin - tortilla chips;https://images.getrecipekit.com/20220114151652-fondue-20pot-20with-20melted-20fondue-20-2.png?aspect_ratio=1:1&quality=90&
44;Golden Nugget Beef;Peel oranges, remove outer membrance. Cut into 4 slices per orange, cut slices in half. Place in bowl, mix sugar and soy sauce. Pour over oranges. Let stand 15 minutes. Stir occasionally. Set aside. Combine cornstarch, ginger and pepper. Blend in boullion and water. Stir until smooth. Set aside. Cut flank diagonally into very thin slices. Heat 1 tbsp of oil in large skillet on high heat. Cook half of the meat at a time, just until it looses red color. Use second tbsp of oil with second half of meat. Remove meat from skillet, saute garlic and onion and celery just until transparent, return meat, stir. Add cornstarch mixture. Cook for 30 seconds, stirring constantly. Add oranges and marinade. Cook 10 seconds, serve over mounds of steamed rice.;oranges - sugar - cornstarch - soy sauce - ginger - pepper - unsalted beef boullion - water - flank steak - vegetable oil - onion - minced garlic - celery;https://www.goldennugget.com/globalassets/las-vegas/restaurants/vics-pork-chop-995x525.jpg
45;Baby Back Ribs;Bake 325 degrees for 2 hours. Cover with foil. Grill for 30 minute, basting with sauce every 10 minutes.;Ribs - barbeque sauce;https://www.southernliving.com/thmb/33HNNbnvH4p1RNrF8xmqv28bjso=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/oven-baked-baby-back-ribs-333_preview-59b8e8cd374d46e8ac3bb160a606a4c5.jpg
46;Sweet and Sour Meatballs;Shape into balls. Roll in flour and brown in hot oil. Bring to boil. Pour over meat. Cook for 30 minutes.;hamburger - sausage - salt - accent - chopped onion - bread crumbs - milk - cornstarch - sugar - pineapple juice - boullion - pineapple chunks - water;https://www.dinneratthezoo.com/wp-content/uploads/2019/01/sweet-and-sour-meatballs-5.jpg
47;Saucy Shrimp Over Chinese Noodle Cakes;Prepare Chinese noodle cakes. Combine water, 1 tablespoon cornstarch and 3 tablespoons soy sauce with ketchup;water - cornstarch - ketchup - soy sauce - medium-size raw shrimp, peeled and deveined - vegetable oil - minced garlic - minced ginger - green bell pepper, chunked - medum onion, chunked - tomatoes - celery, thinly sliced diagonally - chinese noodle cakes;https://www.realsimple.com/thmb/_CQ1JVV5pnk6t32FujZgfWfAppk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/saucy-shrimp-noodle-stir-fry-recipe-1121DIN-408f9b7c86144d04bae75ed69097515e.jpg
48;Sole Thermidor;Roll fish, cook in milk for 30 minutes at 375 degrees. Drain milk, make sauce with remaining ingredients, sprinkle with paprika. Pour over fish. Broil quickly. Serves 4-5.;fish fillets - milk - pepper - salt - margerine - flour - lemon juice or sherry - grated cheese - chopped green onions - sliced mushrooms;https://yesterdish.com/wp-content/gallery/images-in-posts/2013-11-13-lobster-thermidor.jpg
49;Bake Trout;Line bottom of baking dish with half of the bacon. Cover with onion. Sprinkle on bay leaf. Place trout on top. Blend flour and margerine, spread on fish. Sprinkle with crumbs. Top with bacon. Bake uncovered at 375 degrees for 35-45 minutes until golden brown and flakey.;paprika - slices bacon for each - bay leaf, crumbled - onion, thinly sliced - margerine - flour - fine cracker crumbs - salt and pepper;https://cdn1.jernejkitchen.com/sites/default/files/baked-rainbow-trout-05b-jernejkitchen.jpg
50;Cheesy Fish Fillets with Spinach;Heat butter over low heat until melted. Stir in flour, bouillon, nutmeg, red pepper and white pepper;butter - flour - nutmeg - chicken bouillon - red pepper - white pepper - milk - shredded Swiss or cheddar cheese - spinach, thawed and well-drained - lemon juice or sherry - salt - fish fillets, cut in serving pieces - grated parmesan cheese;https://www.everylastbite.com/wp-content/uploads/2020/01/DSC_0151-2-scaled-e1582106515333.jpg
51;Cheese Fondue;Serve with warm chips, baked 6-7 minutes with cumin.;melted Mexican blend cheese - salsa - artichoke hearts;https://images.getrecipekit.com/20220114151652-fondue-20pot-20with-20melted-20fondue-20-2.png?aspect_ratio=1:1&quality=90&
52;Sauteed Scallops;Roll scallops in crumbs and paprika. Saute in butter until golden on all sides. Remove. Add wine or lemon to butter. Add onion to make sauce. Serve with rice.;scallops - very fine bread crumbs - butter - paprika - minced onion - salt - pepper - lemon juice or white wine;https://www.fifteenspatulas.com/wp-content/uploads/2014/06/Seared-Scallops-Fifteen-Spatulas-3.jpg
53;Sole Almondie;Cut fillets into 4 serving pieces and pat dry. Mix flour, sald t and pepper. Dp fish into milk and then coat with 4 mixture. Heat oil and margarine in large skillet over medium heat until hot. Cook fillets, 6-8 minutes until golden brown, turn once during cooking. Remove fish, keep warm. Drain oil from skillet. Add lemon juice, wine and almonds. Boil for 30 seconds and pour over fish.;sole filets - flour - white pepper - salt - milk - vegetable oil - margarine - lemon juice;https://challengedairy.com/sites/default/files/recipe/images/recipe_baked_sole_almondine_2280.jpg
54;Hot Crab Dip;Stir together all ingredients and top with cheddar cheese. Bake for 15-20 minutes. Serve with crackers.;cream cheese - mayonaise - crab meat - worchester - garlic - cheddar cheese;https://www.lemonblossoms.com/wp-content/uploads/2016/10/Crab_Dip_680_1.jpg
55;Shrimp Saute;In a skillet, melt butter over medium heat. Add shrimp, mushrooms, green pepper and garlic. Saute until shrimp turn pink, about 3-5 minutes. Meanwhile, cook pasta according to package directions;butter or margarine - raw shrimp, peeled and deveined - green pepper, chopped - fresh mushrooms, sliced - cloves, minced - linguini or spaghetti - grated Romano cheese - salt;https://www.bowlofdelicious.com/wp-content/uploads/2021/04/sauteed-shrimp-square.jpg
56;Sitr-Fry Beef and Broccoli;Cut flank steak across the grain into thin slices. Mix the soy sauce, dry sherry, cornstarch, ginger and garlic ad pour over the beef, tossing to mix well. Cut the broccoli into florets about 2 inches long;flank steak - soy sauce - cornstarch - dry sherry - fresh ginger, grated - garlic, finely chopped - broccoli - vegetable oil;https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimg1.cookinglight.timeinc.net%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Fmedium_2x%2Fpublic%2F1648496041%2Ffinal_Dinner_Beef_Broccoli_stir_fry_285.jpg%3Fitok%3Dg3PO69Gm
57;Barbecued Spareribs;Baste over ribs while browning until done. If sauce is too thin, thicken with 1 or 2 tablespoons of flour.;salt - pepper - celery salt - chili powder - vinegar - worchestershire sauce - garlic, chopped - lemon, sliced thinly;https://post.greatist.com/wp-content/uploads/sites/2/2021/09/RT-ribs-732x549.png
58;Sweet and Sour Pork;Cut pork tenderloin into chunks. Combine salt, soy sauce, cornstarch and cold water. Marinade pork for 30 minutes. Drain pork and dip a few pieces at a time in a batter made from chicken coating mix, water and egg yolk. Brown pork in hot oil in wok about 3 minutes or until brown. Remove with slotted spoon. Stir in green pepper carrot and onion. Combine catsup, brown sugar, granulated sugar, cinnamon, ginger, lemon and pineapple. Cook until sauce thickens. Add pork mixture and serve over rice.;pork 10derloin - salt - cornstarch - soy sauce - cold water - chicken coasting mix - ice water - egg yolk;https://images.immediate.co.uk/production/volatile/sites/30/2020/08/sweet-sour-pork-1f1cb6a.jpg
59;Beef Scallops with Fresh Tomato Sauce;Pound steak to 1/8 inch thick. remove skins from blanched tomatoes. Chop 3 of them and slice the other 2. Set aside. Cook steak in oil on medium high until browned. Remove and keep warm. Add chopped tomatoes to skillet, with green onions. Add sugar, salt, and basil. Stir in cornstarch. Add sliced tomatoes and heat. Gently spoon over meat.;beef round steak - tomatoes, blanched - sugar - green onions, chopped - salt - basil - cornstarch - veal steak, sliced thinly;https://dfbkuy5licyr9.cloudfront.net/wp-content/uploads/2018/10/Scallops-with-Herb-Tomato-Sauce.jpg?x29643
60;Veal Scallopini;Cut meat into 2 inch pieces and coat in flour. Brown in oil. Add mushrooms, salt, pepper, and wine. Pour over meat in a casserole. Cook in covered casserole for 1 hour at 375 degrees or a heavy covered skillet at low heat for 45 minutes.;veal steak, sliced thinly - flour - sliced mushrooms - oil - sauterne wine - onion - salt and pepper - sliced onions;https://www.twopurplefigs.com/wp-content/uploads/2021/07/Veal-Scallopini-11.jpg
61;Savory Goulash;Brown onion and meat. Add tomato sauce and water. Cook for 2 hours and serve over hot noodles.;sliced onions - wesson oil - paprika - steak, cubed - salt - hot water - tomato sauce - sour cream;https://www.savorynothings.com/wp-content/uploads/2020/03/american-goulash-image-1.jpg
62;Veal Parmigan;Combine first 8 ingredients and simmer for 1 hour over medium-low heat. Dip Veal in egg and then in crumbs, mixed with half cup of parmesan. Brown lightly in hot oil. Place in single layer in large baking dish. Pour 2/3 cup of sauce over meat and bake at 350 degrees for 30 minutes. Place a slice of mozzarella on each meat slice. SPrinkle with remaining parmesan. return to oven for about 15 minutes.;oil - garlic, minced - tomatoes, canned - onion, chopped - salt - pepper - tomato sauce - thyme;https://food.fnr.sndimg.com/content/dam/images/food/fullset/2020/06/22/WO2003_veal-parmesan_s4x3.jpg.rend.hgtvcom.616.462.suffix/1592851946579.jpeg
63;Teriyaki Steak;Marinate for at least 1 hour. Grill over hot coals for about 4 minutes on each side for a 1 inch, rare steak. 5 to 6 minutes for medium-rare.;eggs - flour - cornstarch - salt;https://www.fromvalerieskitchen.com/wordpress/wp-content/uploads/2022/08/Grilled-Teriyaki-Steak-25.jpg
64;Beef Stroganoff;Pound salt and flour into the steak. Cut into think strips. Brown onion in oil. Remove brown meat. Add onion and garlic. Simmer covered for 15 minutes. Add soup and mushrooms. Simmer for 1.5 hours, uncovered. Stor in sour cream. Serve over rice or noodles.;round steak - garlic - flour - salt - pepper - onion, chopped - oil - mushroom soup - mushrooms, sliced - sour cream;https://natashaskitchen.com/wp-content/uploads/2019/04/Beef-Stroganoff-6.jpg
65;Egg Foo Young;Combine first 6 ingredients. Fry in oil to form 3 inch omelettes. To make brown gravy, melt butter, add flour combined with sugar and salt. Add hot water and soy sauce. Cook over low heat until thick. Serve gravy over omelettes.;green onions, chopped - can of shrimp - water chestnuts - bean sprouts - salt and pepper - bea10 eggs - butter melted - flour - sugar - salt - water - soy sauce;https://www.lemontreedwelling.com/wp-content/uploads/2020/08/egg-foo-young-featured.jpg
66;Egg Roll Wrappers;Beat egg slightly. Add flour, cornstarch, salt and water. Blend until smooth. Heat buttered 7 inch skillet or crepe pad. Add 2 tablespoons pf batter to cover bottom of pan. Brown lightly on bottom side only. Place filling on uncooked side. Roll, seal and fry as directed. 5-7 minutes in deep fat at 375 degrees.;eggs - flour - cornstarch - salt;https://www.cheaprecipeblog.com/wp-content/uploads/2021/03/How-to-make-egg-rolls-720x720.jpg
